縣市,goal,Mapping_id,id,indicator,description,indicator_en,description_en
桃園市,8,,25,桃園「有頭鹿」職能訓練場 訓後就業率,就業人數占結訓人數的比率,,
桃園市,8,,26,中高齡就業率,中高齡就業者占中高齡 勞動力的比率,,
桃園市,8,,27,身心障礙者職業重建服務 就業率,,,
桃園市,8,,28,鼓勵青年創新創業 - 輔導社會企業團隊數,每年提供至少80次創新創 業輔導，提供團隊專業的 業師輔導資源,,
桃園市,9,,29,雨水下水道實施率,指專供排放雨水用之地 下排水幹道系統，規劃 幹線已建設長度與總規 劃幹線長度之比率(不包 括道路側溝),,
桃園市,11,,30,桃園捷運 - 節省用電量,基準年(2017年度)用電量 與當年度用電量相比之省電量,,
桃園市,11,,31,桃園捷運機廠 - 綠能(太陽能)發電量,機廠屋頂鋪設太陽能 光電系統之年發電量,,
桃園市,11,,32,捷運綠線施工中的溫室 氣體排碳量,量化捷運施工之溫室氣體 排放量，捷運工程中工程 材料、材料運輸、施工機 具所產生之排碳量，合計 約57萬噸，未來將逐步減 少排碳量10%為目標,,
桃園市,11,,33,多元社會住宅供給量,桃園市多元社會住宅提供 戶數(包含社會住宅、包租 代管、租金補貼),,
桃園市,11,,34,公共自行車租用次數,每年度公共自行車租借 騎乘次數,,
桃園市,11,,35,公共運輸年運量,當年度市區公車及桃園捷運 運量總數,,
桃園市,11,,36,無障礙公車比率,無障礙公車占公車總量的 比率,,
桃園市,11,,37,每萬人享有公園綠地面積,都市計畫包含公園、綠地、 兒童遊樂場、廣場、其他； 公園包含一般公園、生態公 園、河濱公園、埤塘公園、 運動公園、綠帶公園、歷史 公園、寵物公園(含都內外 統計),,
桃園市,11,,38,細懸浮微粒 (PM2.5) 濃度,依環保署手動測站監測平均值， PM2.5 濃度年平均值,,
桃園市,11,,39,優先綠能車格數量,公有停車場電動車格總數,,
桃園市,11,,40,AQI > 100 站日數比率,依環保署一般測站監測 平均值,,
桃園市,11,,41,O3 ≧ 86 ppb 站日數,依環保署一般測站監測平均值,,
桃園市,11,,42,公有垃圾掩埋場活化 再利用累積面積,依各年度完成活化再利用 面積累計，桃園市公有垃 圾掩埋場實際完成活化再 利用面積,,
桃園市,11,,43,一般廢棄物妥善處理率,一般廢棄物透過回收、處理 等方式妥善處理比率,,
桃園市,12,,44,工業廢棄物能資源化比例,,,
桃園市,12,,45,高熱值 SRF 年使用量,高熱值 SRF 銷售使用量,,
桃園市,12,,46,高熱值 SRF 處理、再利 用機構及使用機構輔導 設置家數,,,
桃園市,12,,47,資源回收率,,,
桃園市,13,,48,桃園防災教育館參觀 累計人數,依桃園防災教育館人流 計算系統所統計之數字,,
桃園市,13,,49,路面淹水感測器建置數,累積感測器建置數,,
桃園市,13,,50,相較於基準年(2005年) 溫室氣體減量比率,,,
桃園市,14,,51,許厝港國家級重要濕地 復育面積,許厝港濕地生態復育營 造工程累計完成營造之 總面積,,
桃園市,14,,52,桃園市海岸巡護 (環保艦隊、環保潛水隊) 志工當年度總服務時數,海岸巡護隊之志工維護海岸 環境的總服務時數,,
桃園市,15,,53,綠化及造林面積,每年預計種植３公頃造林 面積，累積每年度植生及 造林的覆蓋面積,,
桃園市,16,,54,暴力案件破獲率,桃園市轄區內發生暴力案件 破獲率,,
桃園市,16,,55,犯罪率 - 每10萬人口中犯罪發生件數,,,
桃園市,16,,56,加入國際組織數量,未來目標值以市政發展及 行政資源規模預估將呈成 長趨勢訂定,,
桃園市,16,,57,桃園市政府各目的事業 機關志工人數,依桃園市政府各目的事業 主管機關之推展志願服務 志工人數及服務成果半年 報統計,,
桃園市,16,,58,桃園市政府各目的事業 機關志工服務時數,桃園市政府各目的事業主 管機關志工服務時數，依 桃園市政府各目的事業主 管機關之推展志願服務志 工人數及服務成果半年報 統計,,
桃園市,16,,59,國際青年志工人次,輔導國際志工服務累計人 次，每年預計輔導160人 次進行國際志願服務,,
